<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211101;10:05:00;356.1400000;357.4500000;356.1400000;356.8900000;874070
20211101;10:10:00;356.8900000;358.3800000;356.8300000;358.1500000;1007920
20211101;10:15:00;358.1700000;358.8000000;358.0000000;358.5000000;660060
20211101;10:20:00;358.5000000;359.4400000;358.2600000;359.3700000;1426490
20211101;10:25:00;359.3700000;359.4400000;358.7500000;359.2800000;911370
20211101;10:30:00;359.3300000;359.9000000;358.7500000;358.8000000;803810
20211101;10:35:00;358.9300000;359.5800000;358.7500000;358.7700000;419480
20211101;10:40:00;358.7700000;359.1800000;358.7500000;359.1500000;240070
20211101;10:45:00;359.1400000;360.4100000;359.0700000;359.7800000;604880
20211101;10:50:00;359.7800000;360.4000000;359.7500000;360.0400000;330830
20211101;10:55:00;360.0400000;360.3000000;359.6300000;359.9600000;385060
20211101;11:00:00;359.9800000;360.0000000;359.2000000;359.9800000;293320
20211101;11:05:00;359.9300000;360.2800000;359.2600000;359.9600000;676020
20211101;11:10:00;359.8500000;360.7000000;359.8500000;360.3500000;816040
20211101;11:15:00;360.2900000;360.6900000;360.1600000;360.3300000;460540
20211101;11:20:00;360.3600000;361.4400000;360.3000000;361.2100000;812290
20211101;11:25:00;361.2100000;361.4900000;361.0600000;361.3900000;301650
20211101;11:30:00;361.3800000;361.7000000;361.3400000;361.4500000;438810
20211101;11:35:00;361.4500000;361.6000000;361.0000000;361.0800000;385160
20211101;11:40:00;361.0800000;361.3800000;360.8000000;361.0300000;327370
20211101;11:45:00;361.0100000;361.2500000;360.8000000;361.0700000;158880
20211101;11:50:00;361.0800000;361.2800000;360.8600000;361.1600000;146310
20211101;11:55:00;361.1600000;362.3200000;360.9100000;362.3000000;816830
20211101;12:00:00;362.3100000;362.3500000;361.9200000;362.1700000;371460
20211101;12:05:00;362.1700000;362.6500000;362.0500000;362.1400000;650390
20211101;12:10:00;362.0500000;362.2900000;362.0100000;362.1100000;133730
20211101;12:15:00;362.1100000;362.2800000;361.6300000;361.8800000;171600
20211101;12:20:00;361.8500000;362.1500000;361.5700000;361.6100000;126700
20211101;12:25:00;361.6100000;362.0000000;361.4000000;361.6200000;167240
20211101;12:30:00;361.6100000;361.8800000;361.4500000;361.6600000;66660
20211101;12:35:00;361.6600000;361.7600000;361.5000000;361.6000000;149960
20211101;12:40:00;361.6000000;361.6100000;361.5000000;361.5200000;114760
20211101;12:45:00;361.5500000;361.5900000;360.6400000;360.9000000;420790
20211101;12:50:00;360.9000000;361.2100000;360.6400000;360.6400000;390430
20211101;12:55:00;360.6000000;361.0000000;360.5500000;360.8600000;417180
20211101;13:00:00;360.9000000;361.7000000;360.8600000;361.5800000;334810
20211101;13:05:00;361.5300000;361.6200000;361.2000000;361.3000000;188170
20211101;13:10:00;361.2500000;361.3600000;361.0200000;361.0800000;176660
20211101;13:15:00;361.0500000;361.2800000;361.0200000;361.1200000;81160
20211101;13:20:00;361.1200000;361.4300000;361.0300000;361.2600000;37420
20211101;13:25:00;361.2600000;361.4900000;361.0100000;361.0200000;127390
20211101;13:30:00;361.0200000;361.2600000;361.0100000;361.0100000;57600
20211101;13:35:00;361.0100000;361.3500000;360.9000000;360.9300000;123780
20211101;13:40:00;360.9300000;361.2900000;360.7300000;361.0900000;164330
20211101;13:45:00;361.1200000;361.6000000;361.0100000;361.0400000;80840
20211101;13:50:00;361.0200000;361.1800000;361.0200000;361.0400000;33230
20211101;13:55:00;361.0400000;361.1200000;360.8000000;361.0200000;82510
20211101;14:00:00;361.0000000;361.4000000;361.0000000;361.1100000;81370
20211101;14:05:00;361.1400000;361.2900000;360.9400000;361.1200000;59680
20211101;14:10:00;361.1700000;361.8000000;361.1600000;361.7000000;136030
20211101;14:15:00;361.7000000;361.9700000;361.5700000;361.6600000;259570
20211101;14:20:00;361.6600000;361.9300000;361.6100000;361.8300000;75260
20211101;14:25:00;361.8400000;362.4900000;361.8400000;362.4500000;346920
20211101;14:30:00;362.4500000;362.4900000;361.5000000;361.6900000;321280
20211101;14:35:00;361.7000000;361.7000000;360.5500000;360.5500000;574600
20211101;14:40:00;360.5500000;361.2800000;360.1300000;360.8900000;716560
20211101;14:45:00;360.8000000;361.2000000;360.7800000;361.0400000;236020
20211101;14:50:00;361.0600000;361.5000000;360.7400000;360.9800000;276960
20211101;14:55:00;360.8800000;361.2000000;360.7600000;361.0000000;188150
20211101;15:00:00;361.0000000;361.2000000;360.3400000;360.5400000;369380
20211101;15:05:00;360.6000000;361.5000000;360.6000000;361.2400000;182380
20211101;15:10:00;361.2600000;361.4900000;361.1700000;361.3000000;112100
20211101;15:15:00;361.3300000;362.5000000;361.3000000;362.4100000;831210
20211101;15:20:00;362.3500000;363.7700000;362.2600000;363.5100000;1944200
20211101;15:25:00;363.5100000;363.7400000;363.1500000;363.3300000;290850
20211101;15:30:00;363.3700000;364.2100000;363.2700000;364.1300000;733070
20211101;15:35:00;364.1300000;364.4000000;363.5300000;363.5900000;516880
20211101;15:40:00;363.5900000;363.9900000;363.5300000;363.7200000;409680
20211101;15:45:00;363.7200000;363.8600000;363.6800000;363.7600000;134310
20211101;15:50:00;363.7600000;363.8500000;363.7400000;363.8200000;125550
20211101;15:55:00;363.8200000;363.9100000;363.6000000;363.6900000;218290
20211101;16:00:00;363.6900000;363.9900000;363.6600000;363.7900000;293820
20211101;16:05:00;363.7900000;364.7900000;363.7500000;364.5400000;870930
20211101;16:10:00;364.5400000;364.8000000;364.0500000;364.3800000;412140
20211101;16:15:00;364.3100000;364.9000000;364.1800000;364.5600000;247580
20211101;16:20:00;364.6200000;364.6900000;364.0300000;364.2100000;252100
