<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210111,10:05:00,282.7500000,282.8500000,281.1600000,281.6800000,1437910
20210111,10:10:00,281.6800000,281.9100000,280.4100000,280.9000000,1557560
20210111,10:15:00,280.9000000,280.9900000,279.4800000,279.9500000,1573470
20210111,10:20:00,279.9200000,280.6000000,279.7100000,280.4700000,1057960
20210111,10:25:00,280.4700000,281.2800000,280.2500000,281.2800000,1124760
20210111,10:30:00,281.2800000,281.8000000,280.8500000,281.7600000,1011640
20210111,10:35:00,281.7600000,282.4100000,281.7000000,281.8700000,805840
20210111,10:40:00,281.8100000,281.9400000,281.3000000,281.3100000,330510
20210111,10:45:00,281.3000000,281.5900000,280.9000000,281.4800000,328080
20210111,10:50:00,281.4500000,281.9900000,281.3100000,281.9500000,377690
20210111,10:55:00,281.9700000,282.4900000,281.8300000,282.1900000,751680
20210111,11:00:00,282.1900000,282.8000000,282.1800000,282.8000000,325560
20210111,11:05:00,282.8000000,285.0500000,282.7200000,284.0200000,3311380
20210111,11:10:00,284.0300000,287.1000000,284.0300000,286.7900000,3161270
20210111,11:15:00,286.9100000,287.2000000,286.0500000,287.0600000,2113060
20210111,11:20:00,287.0700000,287.7000000,286.8800000,287.5000000,1490630
20210111,11:25:00,287.5400000,288.2900000,286.8300000,287.6800000,2299850
20210111,11:30:00,287.8000000,288.0100000,287.3000000,287.9400000,897970
20210111,11:35:00,287.9000000,289.2000000,287.7200000,288.8200000,2313640
20210111,11:40:00,288.8800000,290.0000000,288.5700000,289.7900000,2315270
20210111,11:45:00,289.7900000,289.9600000,288.6600000,289.1900000,1557190
20210111,11:50:00,289.1200000,289.8300000,288.8200000,289.0200000,1082450
20210111,11:55:00,289.0100000,289.6700000,288.9500000,289.6000000,848430
20210111,12:00:00,289.6000000,290.5000000,289.4800000,290.1100000,2007550
20210111,12:05:00,290.1800000,290.1800000,289.2700000,289.3100000,1119830
20210111,12:10:00,289.3200000,290.0300000,289.3200000,289.8700000,496390
20210111,12:15:00,289.9100000,290.3500000,289.3000000,289.3600000,991420
20210111,12:20:00,289.3900000,289.7600000,288.8900000,289.3700000,960890
20210111,12:25:00,289.3700000,289.3700000,288.8400000,289.1700000,604560
20210111,12:30:00,289.1600000,289.4300000,288.9900000,289.3600000,515290
20210111,12:35:00,289.4100000,289.4900000,289.0500000,289.4900000,356600
20210111,12:40:00,289.4900000,289.4900000,289.1000000,289.1900000,361300
20210111,12:45:00,289.1400000,289.3000000,288.9900000,289.1900000,313750
20210111,12:50:00,289.1300000,289.2000000,288.8400000,288.8900000,486580
20210111,12:55:00,288.9400000,289.1000000,288.2600000,288.4400000,1078750
20210111,13:00:00,288.4400000,288.5600000,287.8500000,288.1300000,1198180
20210111,13:05:00,288.1300000,288.1500000,287.1100000,287.2200000,990950
20210111,13:10:00,287.2600000,287.5000000,286.7500000,287.0400000,1082420
20210111,13:15:00,287.0800000,287.8600000,287.0800000,287.6100000,735890
20210111,13:20:00,287.6000000,288.6300000,287.5000000,288.6100000,675010
20210111,13:25:00,288.5300000,288.9400000,288.3000000,288.6300000,1224190
20210111,13:30:00,288.6300000,289.3800000,288.5600000,289.2900000,621930
20210111,13:35:00,289.2900000,289.4900000,288.8400000,289.2000000,679630
20210111,13:40:00,289.2000000,289.3900000,288.9900000,289.2800000,250630
20210111,13:45:00,289.2600000,289.3500000,288.7700000,289.0700000,538950
20210111,13:50:00,289.0800000,289.3300000,289.0200000,289.1400000,315370
20210111,13:55:00,289.1300000,289.3000000,289.0200000,289.0800000,246100
20210111,14:00:00,289.0700000,289.3000000,288.8200000,289.1100000,251620
20210111,14:05:00,289.1800000,289.2000000,288.5700000,289.2000000,261430
20210111,14:10:00,289.2000000,289.9500000,289.2000000,289.8500000,857320
20210111,14:15:00,289.8600000,289.8600000,289.1700000,289.2100000,350220
20210111,14:20:00,289.1700000,289.3900000,289.1100000,289.2200000,226170
20210111,14:25:00,289.2500000,289.6400000,289.1600000,289.4400000,433240
20210111,14:30:00,289.4500000,289.4700000,288.8100000,289.1300000,328280
20210111,14:35:00,289.1100000,289.4800000,288.7300000,289.2300000,296960
20210111,14:40:00,289.2300000,289.3700000,288.9000000,289.2500000,376100
20210111,14:45:00,289.2300000,289.4000000,289.0000000,289.1600000,265760
20210111,14:50:00,289.1300000,289.9000000,289.0400000,289.8200000,781000
20210111,14:55:00,289.8200000,290.1700000,289.6500000,289.8500000,976910
20210111,15:00:00,289.8500000,290.0000000,289.5500000,289.7700000,498560
20210111,15:05:00,289.7700000,290.1700000,289.6900000,289.9500000,416630
20210111,15:10:00,289.9500000,290.4700000,289.7500000,290.4200000,498530
20210111,15:15:00,290.4700000,292.2000000,290.4700000,291.8100000,3882920
20210111,15:20:00,291.8100000,292.0500000,291.5000000,291.6600000,813650
20210111,15:25:00,291.6300000,292.1000000,291.6000000,292.0800000,687840
20210111,15:30:00,292.0700000,292.6000000,292.0700000,292.4200000,1684400
20210111,15:35:00,292.4200000,292.9500000,292.1000000,292.5700000,1264360
20210111,15:40:00,292.5800000,292.6500000,292.0800000,292.2000000,784070
20210111,15:45:00,292.2000000,292.4900000,292.0700000,292.3100000,670440
20210111,15:50:00,292.3100000,292.4400000,291.9400000,292.1400000,655320
20210111,15:55:00,292.1700000,292.1700000,291.5700000,291.7300000,791750
20210111,16:00:00,291.7300000,292.1000000,291.6900000,292.1000000,483340
20210111,16:05:00,292.0200000,292.1000000,290.9300000,291.1200000,1063920
20210111,16:10:00,291.1200000,291.4000000,290.4400000,291.0800000,1085820
20210111,16:15:00,291.0700000,291.6700000,291.0700000,291.2800000,607740
20210111,16:20:00,291.3000000,291.7400000,290.5600000,290.5600000,683390
20210111,16:25:00,290.6600000,290.8900000,289.6700000,289.7800000,1028870
20210111,16:30:00,289.8500000,290.3100000,289.5300000,289.5500000,632650
20210111,16:35:00,289.5500000,289.8000000,289.0100000,289.4200000,705960
20210111,16:40:00,289.4200000,289.5500000,288.7600000,288.8900000,973560
20210111,16:45:00,288.9200000,289.9800000,288.8900000,289.8800000,827500
20210111,16:50:00,289.9200000,290.7500000,289.5800000,290.6000000,1658960
20210111,16:55:00,290.6000000,291.3800000,290.4300000,291.1300000,1395780
20210111,17:00:00,291.1400000,291.2500000,289.8100000,289.8100000,689210
20210111,17:05:00,289.8100000,290.4300000,289.7000000,290.0000000,984880
20210111,17:10:00,289.9800000,290.0000000,288.9800000,289.3400000,676900
20210111,17:15:00,289.3800000,289.9600000,287.5700000,287.8500000,1541620
20210111,17:20:00,287.8600000,287.9000000,287.2700000,287.4500000,2081670
20210111,17:25:00,287.4500000,287.5900000,285.9600000,287.1000000,2719310
20210111,17:30:00,287.0900000,288.8700000,286.9000000,288.7500000,2339860
